% Glass Activity Database

@RELATION activity 

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE std NUMERIC
@ATTRIBUTE rms NUMERIC
@ATTRIBUTE xmean NUMERIC
@ATTRIBUTE xstd NUMERIC
@ATTRIBUTE xrms NUMERIC
@ATTRIBUTE ymean NUMERIC
@ATTRIBUTE ystd NUMERIC
@ATTRIBUTE yrms NUMERIC
@ATTRIBUTE zmean NUMERIC
@ATTRIBUTE zstd NUMERIC
@ATTRIBUTE zrms NUMERIC
@ATTRIBUTE class {sitting,standing,walking,running,driving}

@DATA
 9.8817,  0.1310,  9.8826,  1.0229,  0.3030,  1.0667,  9.5912,  0.1494,  9.5924,  2.0992,  0.3266,  2.1244, sitting
 9.8790,  0.1064,  9.8795,  0.9406,  0.3194,  0.9933,  9.5584,  0.1198,  9.5591,  2.2742,  0.2648,  2.2896, sitting
 9.8802,  0.1350,  9.8811,  0.9384,  0.2774,  0.9785,  9.5696,  0.1525,  9.5708,  2.2322,  0.3094,  2.2535, sitting
 9.8764,  0.1372,  9.8773,  1.0481,  0.2152,  1.0700,  9.5189,  0.1632,  9.5203,  2.3824,  0.3259,  2.4045, sitting
 9.8755,  0.0917,  9.8759,  1.1655,  0.2323,  1.1884,  9.4723,  0.1114,  9.4729,  2.5168,  0.2257,  2.5269, sitting
 9.8785,  0.0748,  9.8788,  1.3526,  0.1513,  1.3610,  9.4450,  0.0895,  9.4454,  2.5469,  0.1877,  2.5538, sitting
 9.8704,  0.0745,  9.8707,  1.0426,  0.4826,  1.1487,  9.5879,  0.1919,  9.5898,  1.8798,  0.7844,  2.0366, sitting
 9.8693,  0.0791,  9.8696,  0.8304,  0.3668,  0.9077,  9.7499,  0.1023,  9.7504,  1.1799,  0.3514,  1.2310, sitting
 9.8709,  0.0586,  9.8710,  1.0436,  0.1593,  1.0557,  9.6894,  0.0963,  9.6898,  1.5052,  0.4057,  1.5588, sitting
 9.8673,  0.1020,  9.8678,  1.1657,  0.1630,  1.1770,  9.5830,  0.1272,  9.5838,  2.0107,  0.3119,  2.0347, sitting
 9.8659,  0.1036,  9.8665,  1.2406,  0.1306,  1.2475,  9.4475,  0.1428,  9.4486,  2.5287,  0.3473,  2.5524, sitting
 9.8621,  0.0555,  9.8623,  1.2311,  0.0873,  1.2341,  9.3518,  0.0628,  9.3520,  2.8764,  0.0880,  2.8778, sitting
 9.8583,  0.0675,  9.8585,  1.2944,  0.2634,  1.3209,  9.3236,  0.0834,  9.3240,  2.9147,  0.1156,  2.9170, sitting
 9.8590,  0.0925,  9.8595,  1.3258,  0.4236,  1.3917,  9.3552,  0.1246,  9.3560,  2.7744,  0.2022,  2.7817, sitting
 9.8623,  0.1740,  9.8638,  0.9679,  0.4806,  1.0804,  9.4844,  0.1783,  9.4861,  2.4634,  0.2721,  2.4784, sitting
 9.8635,  0.1862,  9.8653,  0.6977,  0.2485,  0.7406,  9.5632,  0.1762,  9.5648,  2.2728,  0.3532,  2.3000, sitting
 9.8588,  0.1119,  9.8594,  0.7783,  0.2022,  0.8041,  9.5879,  0.1301,  9.5887,  2.1234,  0.3305,  2.1489, sitting
 9.8548,  0.0889,  9.8552,  0.9021,  0.1279,  0.9111,  9.5986,  0.0982,  9.5991,  2.0283,  0.1962,  2.0378, sitting
 9.8563,  0.1050,  9.8569,  0.9398,  0.1008,  0.9452,  9.5817,  0.1172,  9.5825,  2.0939,  0.2382,  2.1074, sitting
 9.8564,  0.1005,  9.8569,  0.9471,  0.1123,  0.9537,  9.5954,  0.1213,  9.5961,  2.0077,  0.3644,  2.0404, sitting
 9.8542,  0.0951,  9.8547,  1.0407,  0.1811,  1.0563,  9.6402,  0.1106,  9.6408,  1.7102,  0.3580,  1.7472, sitting
 9.8509,  0.0739,  9.8512,  1.0412,  0.1552,  1.0527,  9.6415,  0.0790,  9.6418,  1.7123,  0.2015,  1.7241, sitting
 9.8493,  0.0402,  9.8494,  0.9522,  0.0705,  0.9548,  9.6124,  0.0445,  9.6125,  1.9222,  0.0647,  1.9233, sitting
 9.8496,  0.0428,  9.8497,  0.9666,  0.0861,  0.9704,  9.6086,  0.0469,  9.6087,  1.9349,  0.0567,  1.9357, sitting
 9.8474,  0.0468,  9.8475,  1.0812,  0.1076,  1.0865,  9.6185,  0.0503,  9.6187,  1.8054,  0.1187,  1.8093, sitting
 9.8455,  0.0483,  9.8456,  1.1430,  0.0719,  1.1453,  9.6272,  0.0506,  9.6273,  1.7130,  0.0704,  1.7145, sitting
 9.8455,  0.0451,  9.8456,  1.0976,  0.0877,  1.1011,  9.6006,  0.0563,  9.6008,  1.8738,  0.1932,  1.8837, sitting
 9.8451,  0.0448,  9.8452,  1.0931,  0.0863,  1.0965,  9.5980,  0.0537,  9.5981,  1.8894,  0.1757,  1.8975, sitting
 9.8439,  0.0460,  9.8440,  1.1111,  0.0487,  1.1122,  9.6116,  0.0478,  9.6117,  1.8104,  0.0653,  1.8116, sitting
 9.8426,  0.0462,  9.8428,  1.0884,  0.0494,  1.0895,  9.6053,  0.0467,  9.6055,  1.8511,  0.0374,  1.8515, sitting
 9.8411,  0.0553,  9.8412,  1.0832,  0.0605,  1.0849,  9.6116,  0.0549,  9.6117,  1.8126,  0.0491,  1.8132, sitting
 9.8408,  0.0571,  9.8410,  1.1734,  0.1183,  1.1794,  9.6211,  0.0575,  9.6212,  1.6956,  0.1069,  1.6990, sitting
 9.8408,  0.0559,  9.8410,  1.1118,  0.1942,  1.1286,  9.6466,  0.0590,  9.6467,  1.5810,  0.1095,  1.5848, sitting
 9.8405,  0.0538,  9.8406,  1.0026,  0.1483,  1.0135,  9.6756,  0.0541,  9.6758,  1.4725,  0.1477,  1.4799, sitting
 9.8389,  0.0468,  9.8390,  1.0844,  0.1361,  1.0929,  9.6401,  0.0810,  9.6404,  1.6042,  0.3161,  1.6349, sitting
 9.8344,  0.0553,  9.8346,  1.1058,  0.1254,  1.1129,  9.5159,  0.1129,  9.5166,  2.1712,  0.4477,  2.2168, sitting
 9.8322,  0.0690,  9.8324,  1.0662,  0.1059,  1.0714,  9.4317,  0.0781,  9.4320,  2.5516,  0.2351,  2.5624, sitting
 9.8330,  0.0729,  9.8333,  1.0749,  0.0854,  1.0783,  9.4279,  0.0763,  9.4282,  2.5707,  0.1771,  2.5768, sitting
 9.8332,  0.1374,  9.8342,  0.7131,  0.5104,  0.8766,  9.4406,  0.1342,  9.4415,  2.6023,  0.1697,  2.6079, sitting
 9.8303,  0.1945,  9.8322,  0.5990,  0.4515,  0.7498,  9.3501,  0.2201,  9.3527,  2.9196,  0.3383,  2.9391, sitting
 9.8276,  0.1508,  9.8287,  0.8316,  0.1593,  0.8467,  9.2825,  0.1608,  9.2838,  3.1097,  0.1636,  3.1140, sitting
 9.8270,  0.0663,  9.8273,  0.7695,  0.1088,  0.7771,  9.3812,  0.1057,  9.3818,  2.8057,  0.2848,  2.8201, sitting
 9.8265,  0.0713,  9.8267,  0.9329,  0.2541,  0.9669,  9.4403,  0.0870,  9.4407,  2.5425,  0.1935,  2.5499, sitting
 9.8276,  0.0618,  9.8278,  0.9550,  0.2659,  0.9912,  9.4664,  0.0730,  9.4667,  2.4413,  0.1561,  2.4463, sitting
 9.8268,  0.0696,  9.8270,  0.6112,  0.3864,  0.7228,  9.4505,  0.1125,  9.4512,  2.5669,  0.3676,  2.5931, sitting
 9.8210,  0.0762,  9.8213,  0.5054,  0.3385,  0.6081,  9.2849,  0.1681,  9.2864,  3.1003,  0.4899,  3.1387, sitting
 9.8174,  0.0684,  9.8176,  0.5737,  0.1424,  0.5910,  9.2449,  0.1265,  9.2457,  3.2315,  0.3320,  3.2485, sitting
 9.8202,  0.0630,  9.8204,  0.5848,  0.1110,  0.5953,  9.2777,  0.0970,  9.2782,  3.1521,  0.2562,  3.1625, sitting
 9.8209,  0.0690,  9.8211,  0.6431,  0.1300,  0.6561,  9.3146,  0.1281,  9.3155,  3.0176,  0.3740,  3.0406, sitting
 9.8205,  0.0817,  9.8208,  0.7223,  0.1381,  0.7354,  9.4485,  0.1128,  9.4491,  2.5559,  0.2993,  2.5733, sitting
 9.8220,  0.0746,  9.8223,  0.8051,  0.1496,  0.8188,  9.5270,  0.0797,  9.5273,  2.2366,  0.1888,  2.2445, sitting
 9.8215,  0.0625,  9.8217,  0.8219,  0.1277,  0.8317,  9.5619,  0.0640,  9.5621,  2.0786,  0.1397,  2.0833, sitting
 9.8216,  0.0682,  9.8218,  0.8650,  0.1178,  0.8730,  9.5532,  0.0718,  9.5535,  2.1031,  0.1191,  2.1065, sitting
 9.8194,  0.0636,  9.8196,  0.9164,  0.0897,  0.9208,  9.5122,  0.0736,  9.5125,  2.2508,  0.1527,  2.2560, sitting
 9.8164,  0.0568,  9.8166,  0.9193,  0.1058,  0.9253,  9.5177,  0.0677,  9.5180,  2.2108,  0.1733,  2.2175, sitting
 9.8174,  0.0554,  9.8175,  0.8169,  0.1733,  0.8351,  9.5144,  0.0661,  9.5146,  2.2624,  0.2009,  2.2713, sitting
 9.8175,  0.0689,  9.8177,  0.7847,  0.1596,  0.8008,  9.4699,  0.0676,  9.4702,  2.4609,  0.0827,  2.4623, sitting
 9.8153,  0.0667,  9.8156,  0.7735,  0.1663,  0.7911,  9.4527,  0.0638,  9.4529,  2.5206,  0.0897,  2.5222, sitting
